title,content,author,dynasty,scope
破阵子·四十年来家国,"四十年来家国，三千里地山河。凤阁龙楼连霄汉，玉树琼枝作烟萝，几曾识干戈？

一旦归为臣虏，沈腰潘鬓消磨。最是仓皇辞庙日，教坊犹奏别离歌，垂泪对宫娥。",李煜,五代,180首诗词
乌夜啼·昨夜风兼雨,"昨夜风兼雨，帘帏飒飒秋声。烛残漏断频欹枕，起坐不能平。

世事漫随流水，算来一梦浮生。醉乡路稳宜频到，此外不堪行。",李煜,五代,180首诗词
木兰花·拟古决绝词柬友,"人生若只如初见，何事秋风悲画扇。
等闲变却故人心，却道故人心易变。
骊山语罢清宵半，泪雨霖铃终不怨。
何如薄幸锦衣郎，比翼连枝当日愿。",纳兰性德,清,180首诗词
浣溪沙·谁念西风独自凉,"谁念西风独自凉，萧萧黄叶闭疏窗，沉思往事立残阳。

被酒莫惊春睡重，赌书消得泼茶香，当时只道是寻常。",纳兰性德,清,180首诗词
画堂春·一生一代一双人,"一生一代一双人，争教两处销魂。相思相望不相亲，天为谁春。

浆向蓝桥易乞，药成碧海难奔。若容相访饮牛津，相对忘贫。",纳兰性德,清,180首诗词
长相思·山一程,"山一程，水一程，身向榆关那畔行，夜深千帐灯。

风一更，雪一更，聒碎乡心梦不成，故园无此声。",纳兰性德,清,180首诗词
临江仙·寒柳,"飞絮飞花何处是，层冰积雪摧残，疏疏一树五更寒。爱他明月好，憔悴也相关。

最是繁丝摇落后，转教人忆春山。湔裙梦断续应难。西风多少恨，吹不散眉弯。",纳兰性德,清,180首诗词
夏日绝句,"生当作人杰，死亦为鬼雄。
至今思项羽，不肯过江东。",李清照,宋,180首诗词
梅花,"墙角数枝梅，凌寒独自开。
遥知不是雪，为有暗香来。",王安石,宋,180首诗词
江上渔者,"江上往来人，但爱鲈鱼美。
君看一叶舟，出没风波里。",范仲淹,宋,180首诗词
晓出净慈寺送林子方,"毕竟西湖六月中，风光不与四时同。
接天莲叶无穷碧，映日荷花别样红。",杨万里,宋,180首诗词
题西林壁,"横看成岭侧成峰，远近高低各不同。
不识庐山真面目，只缘身在此山中。",苏轼,宋,180首诗词
惠崇春江晚景二首,"竹外桃花三两枝，春江水暖鸭先知。
蒌蒿满地芦芽短，正是河豚欲上时。",苏轼,宋,180首诗词
寒菊,"花开不并百花丛，独立疏篱趣未穷。
宁可枝头抱香死，何曾吹落北风中。",郑思肖,宋,180首诗词
示儿,"死去元知万事空，但悲不见九州同。
王师北定中原日，家祭无忘告乃翁。",陆游,宋,180首诗词
饮湖上初晴后雨二首·其二,"水光潋滟晴方好，山色空蒙雨亦奇。
欲把西湖比西子，淡妆浓抹总相宜。",苏轼,宋,180首诗词
泊船瓜洲,"京口瓜洲一水间，钟山只隔数重山。
春风又绿江南岸，明月何时照我还？",王安石,宋,180首诗词
元日,"爆竹声中一岁除，春风送暖入屠苏。
千门万户曈曈日，总把新桃换旧符。",王安石,宋,180首诗词
春日,"胜日寻芳泗水滨，无边光景一时新。
等闲识得东风面，万紫千红总是春。",朱熹,宋,180首诗词
小池,"泉眼无声惜细流，树阴照水爱晴柔。
小荷才露尖尖角，早有蜻蜓立上头。",杨万里,宋,180首诗词
冬夜读书示子聿,"古人学问无遗力，少壮工夫老始成。
纸上得来终觉浅，绝知此事要躬行。",陆游,宋,180首诗词
梅花绝句·其一,"闻道梅花坼晓风，雪堆遍满四山中。
何方可化身千亿，一树梅花一放翁。",陆游,宋,180首诗词
游园不值,"应怜屐齿印苍苔，小扣柴扉久不开。
春色满园关不住，一枝红杏出墙来。",叶绍翁,宋,180首诗词
游山西村,"莫笑农家腊酒浑，丰年留客足鸡豚。
山重水复疑无路，柳暗花明又一村。
箫鼓追随春社近，衣冠简朴古风存。
从今若许闲乘月，拄杖无时夜叩门。",陆游,宋,180首诗词
过零丁洋,"辛苦遭逢起一经，干戈寥落四周星。
山河破碎风飘絮，身世浮沉雨打萍。
惶恐滩头说惶恐，零丁洋里叹零丁。
人生自古谁无死？留取丹心照汗青。",文天祥,宋,180首诗词
书愤五首·其一,"早岁那知世事艰，中原北望气如山。
楼船夜雪瓜洲渡，铁马秋风大散关。
塞上长城空自许，镜中衰鬓已先斑。
出师一表真名世，千载谁堪伯仲间！",陆游,宋,180首诗词
临安春雨初霁,"世味年来薄似纱，谁令骑马客京华。
小楼一夜听春雨，深巷明朝卖杏花。
矮纸斜行闲作草，晴窗细乳戏分茶。
素衣莫起风尘叹，犹及清明可到家。",陆游,宋,180首诗词
关雎,"关关雎鸠，在河之洲。窈窕淑女，君子好逑。
参差荇菜，左右流之。窈窕淑女，寤寐求之。
求之不得，寤寐思服。悠哉悠哉，辗转反侧。
参差荇菜，左右采之。窈窕淑女，琴瑟友之。
参差荇菜，左右芼之。窈窕淑女，钟鼓乐之。",佚名,先秦,180首诗词
蒹葭,"蒹葭苍苍，白露为霜。所谓伊人，在水一方。
溯洄从之，道阻且长。溯游从之，宛在水中央。
蒹葭萋萋，白露未晞。所谓伊人，在水之湄。
溯洄从之，道阻且跻。溯游从之，宛在水中坻。
蒹葭采采，白露未已。所谓伊人，在水之涘。
溯洄从之，道阻且右。溯游从之，宛在水中沚。",佚名,先秦,180首诗词
桃夭,"桃之夭夭，灼灼其华。之子于归，宜其室家。
桃之夭夭，有蕡其实。之子于归，宜其家室。
桃之夭夭，其叶蓁蓁。之子于归，宜其家人。",佚名,先秦,180首诗词
荆轲歌,"风萧萧兮易水寒，壮士一去兮不复还。
探虎穴兮入蛟宫，仰天呼气兮成白虹。",佚名,先秦,180首诗词
